Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2024;00:00:00;01-01-2024;00:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,100;kWh;Uitgelezen;
01-01-2024;00:00:00;01-01-2024;00:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;00:15:00;01-01-2024;00:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,085;kWh;Uitgelezen;
01-01-2024;00:15:00;01-01-2024;00:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;00:30:00;01-01-2024;00:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,097;kWh;Uitgelezen;
01-01-2024;00:30:00;01-01-2024;00:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;00:45:00;01-01-2024;01:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,113;kWh;Uitgelezen;
01-01-2024;00:45:00;01-01-2024;01:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;01:00:00;01-01-2024;01:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,098;kWh;Uitgelezen;
01-01-2024;01:00:00;01-01-2024;01:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;01:15:00;01-01-2024;01:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,084;kWh;Uitgelezen;
01-01-2024;01:15:00;01-01-2024;01:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;01:30:00;01-01-2024;01:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,088;kWh;Uitgelezen;
01-01-2024;01:30:00;01-01-2024;01:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;01:45:00;01-01-2024;02:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,365;kWh;Uitgelezen;
01-01-2024;01:45:00;01-01-2024;02:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;02:00:00;01-01-2024;02:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,367;kWh;Uitgelezen;
01-01-2024;02:00:00;01-01-2024;02:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;02:15:00;01-01-2024;02:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,315;kWh;Uitgelezen;
01-01-2024;02:15:00;01-01-2024;02:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;02:30:00;01-01-2024;02:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,315;kWh;Uitgelezen;
01-01-2024;02:30:00;01-01-2024;02:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;02:45:00;01-01-2024;03:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,458;kWh;Uitgelezen;
01-01-2024;02:45:00;01-01-2024;03:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;03:00:00;01-01-2024;03:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,059;kWh;Uitgelezen;
01-01-2024;03:00:00;01-01-2024;03:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;03:15:00;01-01-2024;03:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,068;kWh;Uitgelezen;
01-01-2024;03:15:00;01-01-2024;03:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;03:30:00;01-01-2024;03:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,083;kWh;Uitgelezen;
01-01-2024;03:30:00;01-01-2024;03:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
