Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Calorische bovenwaarde;Omschrijving
12-03-2024;18:00:00;12-03-2024;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,143;m³;Uitgelezen;;
12-03-2024;18:00:00;12-03-2024;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,624;kWh;Uitgelezen;Definitief;
12-03-2024;19:00:00;12-03-2024;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,258;m³;Uitgelezen;;
12-03-2024;19:00:00;12-03-2024;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;2,930;kWh;Uitgelezen;Definitief;
12-03-2024;20:00:00;12-03-2024;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
12-03-2024;20:00:00;12-03-2024;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
12-03-2024;21:00:00;12-03-2024;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
12-03-2024;21:00:00;12-03-2024;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
12-03-2024;22:00:00;12-03-2024;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,059;m³;Uitgelezen;;
12-03-2024;22:00:00;12-03-2024;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,670;kWh;Uitgelezen;Definitief;
12-03-2024;23:00:00;13-03-2024;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,106;m³;Uitgelezen;;
12-03-2024;23:00:00;13-03-2024;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,204;kWh;Uitgelezen;Definitief;
13-03-2024;00:00:00;13-03-2024;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,817;m³;Uitgelezen;;
13-03-2024;00:00:00;13-03-2024;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;9,279;kWh;Uitgelezen;Definitief;
13-03-2024;01:00:00;13-03-2024;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,716;m³;Uitgelezen;;
13-03-2024;01:00:00;13-03-2024;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;8,132;kWh;Uitgelezen;Definitief;
13-03-2024;02:00:00;13-03-2024;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
13-03-2024;02:00:00;13-03-2024;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
13-03-2024;03:00:00;13-03-2024;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
13-03-2024;03:00:00;13-03-2024;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
13-03-2024;04:00:00;13-03-2024;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
13-03-2024;04:00:00;13-03-2024;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
13-03-2024;05:00:00;13-03-2024;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
13-03-2024;05:00:00;13-03-2024;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
13-03-2024;06:00:00;13-03-2024;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,016;m³;Uitgelezen;;
13-03-2024;06:00:00;13-03-2024;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,182;kWh;Uitgelezen;Definitief;
13-03-2024;07:00:00;13-03-2024;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,100;m³;Uitgelezen;;
13-03-2024;07:00:00;13-03-2024;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,136;kWh;Uitgelezen;Definitief;
13-03-2024;08:00:00;13-03-2024;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,102;m³;Uitgelezen;;
13-03-2024;08:00:00;13-03-2024;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,158;kWh;Uitgelezen;Definitief;
13-03-2024;09:00:00;13-03-2024;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,072;m³;Uitgelezen;;
13-03-2024;09:00:00;13-03-2024;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,818;kWh;Uitgelezen;Definitief;
13-03-2024;10:00:00;13-03-2024;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
13-03-2024;10:00:00;13-03-2024;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
13-03-2024;11:00:00;13-03-2024;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
13-03-2024;11:00:00;13-03-2024;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
13-03-2024;12:00:00;13-03-2024;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,131;m³;Uitgelezen;;
13-03-2024;12:00:00;13-03-2024;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,488;kWh;Uitgelezen;Definitief;
13-03-2024;13:00:00;13-03-2024;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,003;m³;Uitgelezen;;
13-03-2024;13:00:00;13-03-2024;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,034;kWh;Uitgelezen;Definitief;
13-03-2024;14:00:00;13-03-2024;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,007;m³;Uitgelezen;;
13-03-2024;14:00:00;13-03-2024;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,080;kWh;Uitgelezen;Definitief;
13-03-2024;15:00:00;13-03-2024;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,023;m³;Uitgelezen;;
13-03-2024;15:00:00;13-03-2024;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,261;kWh;Uitgelezen;Definitief;
13-03-2024;16:00:00;13-03-2024;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,017;m³;Uitgelezen;;
13-03-2024;16:00:00;13-03-2024;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,193;kWh;Uitgelezen;Definitief;
13-03-2024;17:00:00;13-03-2024;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,080;m³;Uitgelezen;;
13-03-2024;17:00:00;13-03-2024;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,909;kWh;Uitgelezen;Definitief;
13-03-2024;18:00:00;13-03-2024;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,446;m³;Uitgelezen;;
13-03-2024;18:00:00;13-03-2024;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;5,065;kWh;Uitgelezen;Definitief;
13-03-2024;19:00:00;13-03-2024;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,067;m³;Uitgelezen;;
13-03-2024;19:00:00;13-03-2024;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,761;kWh;Uitgelezen;Definitief;
13-03-2024;20:00:00;13-03-2024;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,769;m³;Uitgelezen;;
13-03-2024;20:00:00;13-03-2024;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;8,734;kWh;Uitgelezen;Definitief;
13-03-2024;21:00:00;13-03-2024;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
13-03-2024;21:00:00;13-03-2024;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
13-03-2024;22:00:00;13-03-2024;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,267;m³;Uitgelezen;;
13-03-2024;22:00:00;13-03-2024;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;3,032;kWh;Uitgelezen;Definitief;
13-03-2024;23:00:00;14-03-2024;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,766;m³;Uitgelezen;;
13-03-2024;23:00:00;14-03-2024;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;8,700;kWh;Uitgelezen;Definitief;
14-03-2024;00:00:00;14-03-2024;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,348;m³;Uitgelezen;;
14-03-2024;00:00:00;14-03-2024;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;3,952;kWh;Uitgelezen;Definitief;
14-03-2024;01:00:00;14-03-2024;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;01:00:00;14-03-2024;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;02:00:00;14-03-2024;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;02:00:00;14-03-2024;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;03:00:00;14-03-2024;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,006;m³;Uitgelezen;;
14-03-2024;03:00:00;14-03-2024;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,068;kWh;Uitgelezen;Definitief;
14-03-2024;04:00:00;14-03-2024;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,064;m³;Uitgelezen;;
14-03-2024;04:00:00;14-03-2024;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,727;kWh;Uitgelezen;Definitief;
14-03-2024;05:00:00;14-03-2024;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,113;m³;Uitgelezen;;
14-03-2024;05:00:00;14-03-2024;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,283;kWh;Uitgelezen;Definitief;
14-03-2024;06:00:00;14-03-2024;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,848;m³;Uitgelezen;;
14-03-2024;06:00:00;14-03-2024;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;9,631;kWh;Uitgelezen;Definitief;
14-03-2024;07:00:00;14-03-2024;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,420;m³;Uitgelezen;;
14-03-2024;07:00:00;14-03-2024;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;4,770;kWh;Uitgelezen;Definitief;
14-03-2024;08:00:00;14-03-2024;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;08:00:00;14-03-2024;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;09:00:00;14-03-2024;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;09:00:00;14-03-2024;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;10:00:00;14-03-2024;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;10:00:00;14-03-2024;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;11:00:00;14-03-2024;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;11:00:00;14-03-2024;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;12:00:00;14-03-2024;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;12:00:00;14-03-2024;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;13:00:00;14-03-2024;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;13:00:00;14-03-2024;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;14:00:00;14-03-2024;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;14:00:00;14-03-2024;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;15:00:00;14-03-2024;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;15:00:00;14-03-2024;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;16:00:00;14-03-2024;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,050;m³;Uitgelezen;;
14-03-2024;16:00:00;14-03-2024;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,568;kWh;Uitgelezen;Definitief;
14-03-2024;17:00:00;14-03-2024;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,113;m³;Uitgelezen;;
14-03-2024;17:00:00;14-03-2024;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,283;kWh;Uitgelezen;Definitief;
14-03-2024;18:00:00;14-03-2024;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,199;m³;Uitgelezen;;
14-03-2024;18:00:00;14-03-2024;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;2,260;kWh;Uitgelezen;Definitief;
14-03-2024;19:00:00;14-03-2024;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,212;m³;Uitgelezen;;
14-03-2024;19:00:00;14-03-2024;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;2,408;kWh;Uitgelezen;Definitief;
14-03-2024;20:00:00;14-03-2024;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,001;m³;Uitgelezen;;
14-03-2024;20:00:00;14-03-2024;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,011;kWh;Uitgelezen;Definitief;
14-03-2024;21:00:00;14-03-2024;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;21:00:00;14-03-2024;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;22:00:00;14-03-2024;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-03-2024;22:00:00;14-03-2024;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-03-2024;23:00:00;15-03-2024;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,283;m³;Uitgelezen;;
14-03-2024;23:00:00;15-03-2024;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;3,214;kWh;Uitgelezen;Definitief;
15-03-2024;00:00:00;15-03-2024;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;00:00:00;15-03-2024;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;01:00:00;15-03-2024;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;01:00:00;15-03-2024;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;02:00:00;15-03-2024;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;02:00:00;15-03-2024;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;03:00:00;15-03-2024;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,004;m³;Uitgelezen;;
15-03-2024;03:00:00;15-03-2024;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,045;kWh;Uitgelezen;Definitief;
15-03-2024;04:00:00;15-03-2024;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,055;m³;Uitgelezen;;
15-03-2024;04:00:00;15-03-2024;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,625;kWh;Uitgelezen;Definitief;
15-03-2024;05:00:00;15-03-2024;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,051;m³;Uitgelezen;;
15-03-2024;05:00:00;15-03-2024;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,579;kWh;Uitgelezen;Definitief;
15-03-2024;06:00:00;15-03-2024;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,408;m³;Uitgelezen;;
15-03-2024;06:00:00;15-03-2024;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;4,634;kWh;Uitgelezen;Definitief;
15-03-2024;07:00:00;15-03-2024;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,660;m³;Uitgelezen;;
15-03-2024;07:00:00;15-03-2024;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;7,496;kWh;Uitgelezen;Definitief;
15-03-2024;08:00:00;15-03-2024;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;08:00:00;15-03-2024;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;09:00:00;15-03-2024;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;09:00:00;15-03-2024;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;10:00:00;15-03-2024;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;10:00:00;15-03-2024;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;11:00:00;15-03-2024;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;11:00:00;15-03-2024;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;12:00:00;15-03-2024;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;12:00:00;15-03-2024;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;13:00:00;15-03-2024;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;13:00:00;15-03-2024;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;14:00:00;15-03-2024;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;14:00:00;15-03-2024;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;15:00:00;15-03-2024;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;15:00:00;15-03-2024;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;16:00:00;15-03-2024;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;16:00:00;15-03-2024;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;17:00:00;15-03-2024;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;17:00:00;15-03-2024;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;18:00:00;15-03-2024;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;18:00:00;15-03-2024;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;19:00:00;15-03-2024;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;19:00:00;15-03-2024;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;20:00:00;15-03-2024;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;20:00:00;15-03-2024;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;21:00:00;15-03-2024;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;21:00:00;15-03-2024;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;22:00:00;15-03-2024;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;22:00:00;15-03-2024;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-03-2024;23:00:00;16-03-2024;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-03-2024;23:00:00;16-03-2024;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-03-2024;00:00:00;16-03-2024;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,016;m³;Uitgelezen;;
16-03-2024;00:00:00;16-03-2024;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,182;kWh;Uitgelezen;Definitief;
16-03-2024;01:00:00;16-03-2024;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,337;m³;Uitgelezen;;
16-03-2024;01:00:00;16-03-2024;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;3,827;kWh;Uitgelezen;Definitief;
16-03-2024;02:00:00;16-03-2024;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,822;m³;Uitgelezen;;
16-03-2024;02:00:00;16-03-2024;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;9,336;kWh;Uitgelezen;Definitief;
16-03-2024;03:00:00;16-03-2024;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,730;m³;Uitgelezen;;
16-03-2024;03:00:00;16-03-2024;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;8,291;kWh;Uitgelezen;Definitief;
16-03-2024;04:00:00;16-03-2024;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,080;m³;Uitgelezen;;
16-03-2024;04:00:00;16-03-2024;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,909;kWh;Uitgelezen;Definitief;
16-03-2024;05:00:00;16-03-2024;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-03-2024;05:00:00;16-03-2024;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-03-2024;06:00:00;16-03-2024;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-03-2024;06:00:00;16-03-2024;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-03-2024;07:00:00;16-03-2024;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,013;m³;Uitgelezen;;
16-03-2024;07:00:00;16-03-2024;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,148;kWh;Uitgelezen;Definitief;
16-03-2024;08:00:00;16-03-2024;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,061;m³;Uitgelezen;;
16-03-2024;08:00:00;16-03-2024;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,693;kWh;Uitgelezen;Definitief;
16-03-2024;09:00:00;16-03-2024;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,052;m³;Uitgelezen;;
16-03-2024;09:00:00;16-03-2024;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,591;kWh;Uitgelezen;Definitief;
16-03-2024;10:00:00;16-03-2024;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,093;m³;Uitgelezen;;
16-03-2024;10:00:00;16-03-2024;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,056;kWh;Uitgelezen;Definitief;
16-03-2024;11:00:00;16-03-2024;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,296;m³;Uitgelezen;;
16-03-2024;11:00:00;16-03-2024;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;3,362;kWh;Uitgelezen;Definitief;
16-03-2024;12:00:00;16-03-2024;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-03-2024;12:00:00;16-03-2024;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-03-2024;13:00:00;16-03-2024;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-03-2024;13:00:00;16-03-2024;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-03-2024;14:00:00;16-03-2024;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-03-2024;14:00:00;16-03-2024;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-03-2024;15:00:00;16-03-2024;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-03-2024;15:00:00;16-03-2024;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-03-2024;16:00:00;16-03-2024;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
