Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Calorische bovenwaarde;Omschrijving
15-04-2023;00:00:00;15-04-2023;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;00:00:00;15-04-2023;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;01:00:00;15-04-2023;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;01:00:00;15-04-2023;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;02:00:00;15-04-2023;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;02:00:00;15-04-2023;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;03:00:00;15-04-2023;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;03:00:00;15-04-2023;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;04:00:00;15-04-2023;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,028;m³;Uitgelezen;;
15-04-2023;04:00:00;15-04-2023;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,319;kWh;Uitgelezen;Definitief;
15-04-2023;05:00:00;15-04-2023;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,726;m³;Uitgelezen;;
15-04-2023;05:00:00;15-04-2023;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;8,272;kWh;Uitgelezen;Definitief;
15-04-2023;06:00:00;15-04-2023;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,262;m³;Uitgelezen;;
15-04-2023;06:00:00;15-04-2023;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;2,985;kWh;Uitgelezen;Definitief;
15-04-2023;07:00:00;15-04-2023;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;07:00:00;15-04-2023;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;08:00:00;15-04-2023;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;08:00:00;15-04-2023;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;09:00:00;15-04-2023;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,039;m³;Uitgelezen;;
15-04-2023;09:00:00;15-04-2023;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,444;kWh;Uitgelezen;Definitief;
15-04-2023;10:00:00;15-04-2023;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,037;m³;Uitgelezen;;
15-04-2023;10:00:00;15-04-2023;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,422;kWh;Uitgelezen;Definitief;
15-04-2023;11:00:00;15-04-2023;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;11:00:00;15-04-2023;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;12:00:00;15-04-2023;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;12:00:00;15-04-2023;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;13:00:00;15-04-2023;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;13:00:00;15-04-2023;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;14:00:00;15-04-2023;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;14:00:00;15-04-2023;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;15:00:00;15-04-2023;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;15:00:00;15-04-2023;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;16:00:00;15-04-2023;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;16:00:00;15-04-2023;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;17:00:00;15-04-2023;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,022;m³;Uitgelezen;;
